Year,china_sentiment_proximity,america_sentiment_proximity
1990,0.14439282938838005,0.1466943770647049
1991,0.05300297960639,0.0571638997644186
1992,0.15216512605547905,0.21103061735630035
1993,0.10992667078971863,0.17910009622573853
1994,0.11300836503505707,0.10830330895259976
1995,0.1767148608341813,0.09398916363716125
1996,0.22263047844171524,0.0870661735534668
1997,0.17508616112172604,0.07536144740879536
1998,0.13917780295014381,0.0349158039316535
1999,0.20036793500185013,0.06796628097072244
2000,0.15932340640574694,0.03822427988052368
2001,0.2399289533495903,0.16153083369135857
2002,0.1064033955335617,0.19599111750721931
2003,0.1829035021364689,0.16031088307499886
2004,0.10933359700720757,0.1760566085577011
2005,0.20350758358836174,0.1541315563954413
2006,0.17436358891427517,0.16797544993460178
2007,0.1738948691636324,0.08681870996952057
2008,0.2994830012321472,0.10692866146564484
2009,0.2295554205775261,0.18732769694179296
2010,0.24260006844997406,0.13344387989491224
2011,0.22062600404024124,0.20515891909599304
2012,0.228040874004364,0.19332963973283768
2013,0.22015539556741714,0.14464286714792252
2014,0.27125752717256546,0.14262296725064516
2015,0.27999376505613327,0.17336777970194817
2016,0.23021673783659935,0.22504960000514984
2017,0.173332579433918,0.15393267758190632
2018,0.10728024318814278,0.17833345010876656
2019,0.2565807867795229,0.16904530674219131
